BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000307	BGC0000307	Aureobasidium pullulans strain BP-1938 aureobasidin A1 biosynthesis complex (aba1) gene, complete cds	NRPS	NRPS	Aureobasidium pullulans	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium
BGC0000308	BGC0000308	Staphylococcus aureus subsp. aureus str. JKD6008, complete genome	NRPS	NRPS	Staphylococcus aureus subsp. aureus str. JKD6008	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000309	BGC0000309	Bacillus subtilis subsp. subtilis str. 168 complete genome	NRPS	NRPS	Bacillus subtilis subsp. subtilis str. 168	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000310	BGC0000310	Bacillus licheniformis bacitracin synthetase operon, complete sequence; BacS (bacS), BcrA (bcrA), BcrB (bcrB), and BcrC (bcrC) genes, complete cds	NRPS	NRPS	Bacillus licheniformis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000311	BGC0000311	Amycolatopsis balhimycina biosynthetic gene cluster for balhimycin, strain DSM 5908	NRPS-like.NRPS.T3PKS	PKS-NRP_Hybrids	Amycolatopsis balhimycina DSM 5908	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000312	BGC0000312	Beauveria bassiana strain ATCC 7159 bassianolide biosynthetic gene locus, partial sequence	NRPS	NRPS	Beauveria bassiana	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria
BGC0000313	BGC0000313	Beauveria bassiana strain ATCC 7159 beauvericin biosynthetic gene locus, complete sequence	NRPS	NRPS	Beauveria bassiana	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria
BGC0000314	BGC0000314	Pseudoalteromonas piscicida JCM 20779 Ppis_ctg002, whole genome shotgun sequence	NRPS.ladderane	Others	Pseudoalteromonas piscicida JCM 20779	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
BGC0000315	BGC0000315	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000316	BGC0000316	Saccharothrix mutabilis subsp. capreolus capreomycin biosynthetic gene cluster, complete sequence	NRPS-like.NRPS	NRPS	Saccharothrix mutabilis subsp. capreolus	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix
BGC0000319	BGC0000319	Streptomyces clavuligerus ATCC 27064 supercont1.1 genomic scaffold, whole genome shotgun sequence	NRPS	NRPS	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000320	BGC0000320	Bacillus cereus plasmid pBCE4810 hypothetical protein, CAAX amino terminal protease, and pXO-14-like conserved protein genes, complete cds; cereulide synthetase gene cluster, complete sequence; pXO-11-like hypothetical protein, reverse transcriptase, and pXO1-10-like hypothetical protein genes, complete cds; and pXO1-8-like hypothetical protein gene, partial cds	NRPS	NRPS	Bacillus cereus	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
BGC0000321	BGC0000321	UNVERIFIED: Chaetomium virescens strain ATCC 26417 chaetocin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Achaetomiella virescens	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Achaetomiella
BGC0000322	BGC0000322	Amycolatopsis orientalis cosmid PCZA363	NRPS	NRPS	Amycolatopsis orientalis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000323	BGC0000323	Pseudomonas cichorii cichofactin biosynthesis gene cluster, complete sequence	NRPS	NRPS	Pseudomonas cichorii	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000324	BGC0000324	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000325	BGC0000325	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000326	BGC0000326	Streptomyces lavendulae complestatin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Streptomyces lavendulae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000327	BGC0000327	Streptomyces ambofaciens ATCC 23877 right chromosomal arm	NRPS	NRPS	Streptomyces ambofaciens ATCC 23877	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000328	BGC0000328	Pseudomonas savastanoi pv. glycinea plasmid p4180A CmaD, CmaE, CmaA, CmaB, CmaC, CmaT, alanyl tRNA synthetase related protein, and CmaU genes, complete cds	NRPS-like	NRPS	Pseudomonas savastanoi pv. glycinea	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000329	BGC0000329	Pseudomonas corrugata strain CFBP 5454 transcriptional activator protein (pcoR), putative membrane protein (rhtB), acyl-homoserine lactone synthase (pcoI), and RfiA (rfiA) genes, complete cds; pcoABC efflux system operon, complete sequence; putative diaminobutyrate-2-oxoglutarate transaminase protein, ABC transporter protein (crpE), and membrane fusion protein (crpD) genes, complete cds; and non ribosomal peptide synthetase (crpC) gene, partial cds	NRPS.hserlactone	Others	Pseudomonas corrugata	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000330	BGC0000330	Ralstonia eutropha H16 chromosome 2	NRPS	NRPS	Cupriavidus necator H16	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
BGC0000331	BGC0000331	Planktothrix agardhii NIVA-CYA 116 cyanopeptin oci gene cluster, complete sequence	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 116	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000332	BGC0000332	Microcystis sp. NIVA-CYA 172/5 cyanopeptolin synthetase gene cluster, complete sequence	NRPS	NRPS	Microcystis sp. NIVA-CYA 172/5	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000333	BGC0000333	Salinispora arenicola CNS-205, complete genome	NRPS.betalactone.indole	Others	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000334	BGC0000334	Tolypocladium inflatum strain NRRL 8044 unitig_4, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Tolypocladium inflatum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Tolypocladium
BGC0000335	BGC0000335	Cystobacter fuscus strain MCy9118 cystomanamide biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Cystobacter fuscus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Cystobacter
BGC0000336	BGC0000336	Streptomyces filamentosus strain NRRL 11379 daptomycin biosynthetic gene cluster, partial sequence	NRPS	NRPS	Streptomyces filamentosus NRRL 11379	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000337	BGC0000337	Metarhizium anisopliae ARSEF 23 unplaced genomic scaffold Scf_050, whole genome shotgun sequence	NRPS	NRPS	Metarhizium robertsii ARSEF 23	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,mitosporic Clavicipitaceae,Metarhizium
BGC0000339	BGC0000339	Streptomyces lasaliensis gene cluster(ecm1, ecm2, ecm3, ecm4, ecm5, ecm6, ecm7, ecm8, ecm9, ecm10, ecm11, ecm12, ecm13, ecm14, ecm15, ecm16, ecm17, ecm18), complete cds	NRPS-like.NRPS	NRPS	Streptomyces lasalocidi	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000340	BGC0000340	Streptomyces sp. LZ35 echosides biosynthetic gene cluster, complete sequence	NRPS-like	NRPS	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000341	BGC0000341	Streptomyces fungicidicus DXP synthase 2 gene, partial cds; cationic amino acid transporter, transcriptional regulator, glycosyltransferase, fatty acid oxidation complex alpha-subunit, acetyl-CoA acetyltransferase, transcriptional regulator, beta-mannosidase, probable sugar transport system sugar-binding lipoprotein, sugar transport system permease proteins, ribonuclease D, two-component response regulator, uroporphyrinogen decarboxylase, and PAS protein phosphatase 2C-like protein genes, complete cds; peptide antibiotic enduracidin biosynthetic gene cluster, complete sequence; and unknown genes	NRPS-like.NRPS	NRPS	Streptomyces fungicidicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000342	BGC0000342	Fusarium scirpi esyn1 gene for enniatin synthetase	NRPS	NRPS	Fusarium scirpi	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium incarnatum-equiseti species complex
BGC0000343	BGC0000343	Pseudomonas sp. J465 CysB gene, partial cds; UspA domain-containing protein, 5' nucleotidase, 2-dehydropantoate 2-reducatse, hypothetical protein, PilZ, phospho-2-dehydro-3-deoxyheptonate aldolase, and MFS-family transporter genes, complete cds; ddd gene cluster, complete sequence; NHL repeat-containing protein, benzoate transporter, lysine exporter protein, MarR, GntR, glutathione S-transferase, UvrD/REP helicase, isochorismate synthase, enterobactin synthase subunit E, and isochorismatase genes, complete cds; and enterobactin synthetase component F gene, partial cds	NRPS	NRPS	Pseudomonas sp. J465	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000344	BGC0000344	Pseudomonas entomophila str. L48 chromosome,complete sequence	NRPS	NRPS	Pseudomonas entomophila L48	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000345	BGC0000345	Streptomyces hygroscopicus strain ATCC 53709 transposase gene, complete cds; eponemycin biosynthetic gene cluster, complete sequence; and transposase gene, complete cds	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000346	BGC0000346	Goodfellowiella coeruleoviolacea strain ATCC 53904 FAD-dependent oxidoreductase gene, complete cds; epoxomicin biosynthetic gene cluster, complete sequence; and MarR-like transcriptional regulator gene, complete cds	T1PKS.NRPS	PKS-NRP_Hybrids	Goodfellowiella coeruleoviolacea	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Goodfellowiella
BGC0000347	BGC0000347	Streptococcus equi subsp. equi integrative conjugative element ICESE2, strain 4047	NRPS	NRPS	Streptococcus equi subsp. equi	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000348	BGC0000348	Neotyphodium lolii strain Lp19 EAS ergot alkaloid biosynthetic gene cluster, partial sequence	NRPS	NRPS	Epichloe festucae var. lolii	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Epichloe
BGC0000349	BGC0000349	Saccharopolyspora erythraea NRRL2338 complete genome	NRPS	NRPS	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
BGC0000350	BGC0000350	Uncultured organism clone ET_Etu_NRPS ET-743 non-ribosomal peptide synthase biosynthetic gene cluster, partial sequence	NRPS	NRPS	uncultured organism	unclassified sequences,environmental samples
BGC0000351	BGC0000351	Mycobacterium smegmatis FxbA (fxbA) gene, partial cds; FxbB (fxbB), FxbC (fxbC), and FxuD (fxtD) genes, complete cds; and unknown genes	NRPS	NRPS	Mycolicibacterium smegmatis MC2 155	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
BGC0000352	BGC0000352	Acinetobacter sp. ADP1 complete genome	NRPS	NRPS	Acinetobacter baylyi ADP1	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
BGC0000353	BGC0000353	Streptomyces sp. MA6548 FK506 peptide synthetase (fkbP), FK506 oxidase (fkbO), and FK506 polyketide synthase (fkbB) genes, complete cds	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces sp. MA6548	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000354	BGC0000354	Actinoplanes firuliensis friulimicin biosynthetic gene cluster	NRPS-like.NRPS	NRPS	Actinoplanes friuliensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
BGC0000355	BGC0000355	Aspergillus fumigatus Af293 chromosome 6, whole genome shotgun sequence	NRPS	NRPS	Aspergillus fumigatus Af293	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati
BGC0000356	BGC0000356	Aspergillus fumigatus DNA, fumitremorgin biosynthetic gene cluster (ftmA, ftmC, ftmD, ftmB/ftmPT1, ftmE, ftmF, ftmG, ftmH, ftmI), complete cds	NRPS.indole	Others	Aspergillus fumigatus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati
BGC0000357	BGC0000357	Penicillium chrysogenum Wisconsin 54-1255 complete genome, contig Pc00c16	NRPS	NRPS	Penicillium rubens Wisconsin 54-1255	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum species complex
BGC0000359	BGC0000359	Thermobifida fusca YX, complete genome	NRPS	NRPS	Thermobifida fusca YX	Bacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Thermobifida
BGC0000360	BGC0000360	Streptomyces sp. L-49973 GE81112 biosynthetic gene cluster, strain L-49973	NRPS	NRPS	Streptomyces sp. L-49973	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
